,client_fk,active_days,avg_case_load
718,3674,12,1.8333333333333333
719,3679,1,1.0
720,3684,21,4.190476190476191
721,3685,13,2.5384615384615383
722,3686,28,6.035714285714286
723,3687,29,2.4827586206896552
724,3689,17,1.7647058823529411
725,3691,29,3.793103448275862
726,3693,24,3.3333333333333335
727,3694,30,5.266666666666667
728,3696,1,1.0
729,3697,28,14.464285714285714
730,3698,1,1.0
731,3700,4,1.0
732,3701,5,1.8
733,3702,30,75.03333333333333
734,3704,13,3.3846153846153846
735,3705,19,2.3157894736842106
736,3706,25,5.6
737,3707,29,11.724137931034482
738,3708,14,1.7142857142857142
739,3710,30,44.7
740,3711,24,23.375
741,3713,14,3.357142857142857
742,3716,5,1.4
743,3717,15,2.2
744,3718,9,1.1111111111111112
745,3720,9,1.3333333333333333
746,3721,30,8.466666666666667
747,3722,24,3.0833333333333335
748,3723,29,3.9655172413793105
749,3724,23,3.4347826086956523
750,3725,30,7.5
751,3727,30,18.733333333333334
752,3729,16,1.1875
753,3730,8,1.0
754,3733,20,1.7
755,3734,26,3.923076923076923
756,3735,6,1.0
757,3736,9,12.666666666666666
758,3739,25,4.96
759,3740,25,10.96
760,3743,21,5.380952380952381
761,3746,23,2.869565217391304
762,3747,14,1.1428571428571428
763,3748,17,16.11764705882353
764,3751,4,2.0
765,3752,11,1.7272727272727273
766,3755,7,1.0
767,3756,24,12.583333333333334
768,3762,30,26.433333333333334
769,3763,1,1.0
770,3764,18,2.0
771,3765,4,1.25
772,3767,30,8.366666666666667
773,3768,28,20.964285714285715
774,3769,25,13.8
775,3771,30,4.733333333333333
776,3773,23,2.1739130434782608
777,3775,11,2.090909090909091
778,3776,27,3.037037037037037
779,3777,10,1.3
780,3779,7,1.0
781,3783,28,7.107142857142857
782,3784,22,3.727272727272727
783,3788,22,11.181818181818182
784,3789,5,9.8
785,3791,23,2.260869565217391
786,3792,5,1.4
787,3793,1,1.0
788,3794,24,18.291666666666668
789,3795,13,7.384615384615385
790,3797,30,12.5
791,3798,20,2.2
792,3799,1,1.0
793,3800,5,1.2
794,3804,15,2.8
795,3805,18,2.1666666666666665
796,3806,26,5.153846153846154
797,3809,9,2.0
798,3810,27,3.7037037037037037
799,3811,9,1.5555555555555556
800,3813,22,2.0454545454545454
801,3814,27,2.5555555555555554
802,3817,30,12.033333333333333
803,3819,1,3.0
804,3820,20,1.4
805,3822,22,2.1363636363636362
806,3826,1,2.0
807,3828,3,1.0
808,3829,20,1.7
809,3832,2,21.0
810,3833,3,1.6666666666666667
811,3834,8,1.75
812,3835,4,14.25
813,3836,3,9.333333333333334
814,3838,29,5.310344827586207
815,3841,25,2.92
816,3843,18,3.0555555555555554
817,3844,19,1.3157894736842106
818,3846,12,2.0
819,3848,19,1.7894736842105263
820,3849,11,1.3636363636363635
821,3851,8,1.0
822,3852,13,2.230769230769231
823,3853,28,4.321428571428571
824,3854,28,182.78571428571428
825,3855,9,2.7777777777777777
826,3856,26,2.8461538461538463
827,3858,1,2.0
828,3859,2,1.0
829,3860,3,7.333333333333333
830,3862,1,1.0
831,3863,9,2.6666666666666665
832,3864,1,1.0
833,3865,4,1.25
834,3866,11,8.181818181818182
835,3867,18,30.444444444444443
836,3869,1,1.0
837,3870,2,1.5
838,3871,11,3.272727272727273
839,3872,2,1.0
840,3874,1,4.0
841,3875,4,24.5
842,3876,1,1.0
843,3878,2,2.5
844,3880,1,6.0
845,3882,3,1.0
846,3884,1,1.0
